chosed mode:0
Game Over. I did 100000 times write. And block size is 1024
% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 45.64    9.210326          46    200000 clock_gettime
 30.79    6.213648          62    100000 write
 23.16    4.673760          46    100000 fprintf
  0.40    0.081258       81258         1 open
  0.00    0.000132          66         2 printf
  0.00    0.000108         108         1 memalign
  0.00    0.000095          95         1 fopen
  0.00    0.000070          70         1 ftruncate
  0.00    0.000053          53         1 atoi
------ ----------- ----------- --------- --------------------
100.00   20.179450                400007 total
