chosed mode:4
Game Over. I did 100000 times write. And block size is 1024
% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 45.75    9.147472          45    200000 clock_gettime
 30.82    6.161938          61    100000 write
 23.12    4.623319          46    100000 fprintf
  0.31    0.062713       62713         1 ftruncate
  0.00    0.000135          67         2 printf
  0.00    0.000107         107         1 memalign
  0.00    0.000066          66         1 open
  0.00    0.000065          65         1 fopen
  0.00    0.000054          54         1 atoi
------ ----------- ----------- --------- --------------------
100.00   19.995869                400007 total
