chosed mode:2
Game Over. I did 100000 times write. And block size is 1024
% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 57.32   19.574586         195    100000 write
 28.65    9.783956          48    200000 clock_gettime
 14.03    4.791550          47    100000 fprintf
  0.00    0.000143          71         2 printf
  0.00    0.000106         106         1 memalign
  0.00    0.000087          87         1 open
  0.00    0.000074          74         1 atoi
  0.00    0.000066          66         1 ftruncate
  0.00    0.000065          65         1 fopen
------ ----------- ----------- --------- --------------------
100.00   34.150633                400007 total
