chosed mode:3
Game Over. I did 100000 times write. And block size is 1024
% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 56.12   18.578936         185    100000 write
 29.30    9.700004          48    200000 clock_gettime
 14.58    4.828341          48    100000 fprintf
  0.00    0.000133          66         2 printf
  0.00    0.000108         108         1 memalign
  0.00    0.000087          87         1 open
  0.00    0.000066          66         1 ftruncate
  0.00    0.000066          66         1 fopen
  0.00    0.000053          53         1 atoi
------ ----------- ----------- --------- --------------------
100.00   33.107794                400007 total
